Feature,Silhouette_mean_mean,Silhouette_mean_std,Silhouette_std_mean,Silhouette_std_std,DBI_mean_mean,DBI_mean_std,DBI_std_mean,DBI_std_std,Cohen's d_mean_mean,Cohen's d_mean_std,Cohen's d_std_mean,Cohen's d_std_std,Balance_mean_mean,Balance_mean_std,Balance_std_mean,Balance_std_std,MCR_mean_mean,MCR_mean_std,MCR_std_mean,MCR_std_std,LMR_mean_mean,LMR_mean_std,LMR_std_mean,LMR_std_std,CSS_mean_mean,CSS_mean_std,CSS_std_mean,CSS_std_std,CBS_mean_mean,CBS_mean_std,CBS_std_mean,CBS_std_std,CRS_mean_mean,CRS_mean_std,CRS_std_mean,CRS_std_std,ICES_mean_mean,ICES_mean_std,ICES_std_mean,ICES_std_std
CRS,0.4393,0.0159,0.1193,0.0082,0.7668,0.0217,0.1685,0.0166,3.5287,0.1633,0.8496,0.1225,0.9318,0.0268,0.0764,0.0464,0.0167,0.0096,0.0156,0.0074,0.7248,0.349,0.0644,0.0653,0.8652,0.0959,0.1688,0.0887,0.8382,0.1182,0.247,0.1856,0.6806,0.2758,0.1793,0.1059,0.7947,0.1156,0.1552,0.0668
IC50,0.324,0.0053,0.1581,0.0225,0.8683,0.0102,0.2178,0.0537,2.3769,0.0847,1.4428,0.0725,0.7987,0.0662,0.1108,0.0383,0.0354,0.0047,0.0538,0.0184,0.5842,0.4586,0.0656,0.0374,0.458,0.0524,0.2859,0.0699,0.3833,0.1696,0.4345,0.057,0.5959,0.2586,0.1874,0.0437,0.4791,0.1098,0.2447,0.0305
